"","NAME","DOBNEAR","DECEASEDNEAR","OCCUPATION","DESCRIPTION"
"11"," ADRIAN OF CANTERBURY ",NA,"710"," abbot"," An African by birth, Adrian became a monk and eventually abbot of Nerida, near Naples. On the death of Deusdedit, archbishop of Canterbury, in 664 and of his replacement Wighard in 665, Pope Vitalian wished to appoint Adrian to Canterbury. He, however, refused, but suggested the nomination of *Theodore instea This was agreed, but the pope asked Adrian to accompany Theodore to be his adviser and helper. Theodore named him abbot of St. Augustine’s, Canterbury, where he directed an important school, at which many future bishops and abbots were educate Subjects taught included Greek as well as Latin, Scripture, computistics, theology, and Roman law. Students came from all parts of England and even from Ireland: *Aldhelm thought that the education offered there exceeded anything then available in Irelan Adrian worked at Canterbury for nearly forty years, far outliving Theodore. He died on 9 January and was buried in his monastery. His body was found incorrupt in 1091, when architectural alterations made the translation of several Canterbury saints necessary. Among the miracles recorded of him then are several accomplished in favour of the boys who studied in the monastery and were in trouble with their masters. Feast: 9 January (with an octave at St. Augustine’s, Canterbury)"
"12","ADRIAN OF MAY ",NA,"775"," martyr"," Probably an Irish missionary bishop, Adrian was killed with many English companions, possibly latter-day disciples of *Acca, by Danes on the Isle of May in the Firth of Forth. *David I, king of Scotland, built a monastery there which he gave to the Benedictine monks of Reading; later they were replaced by canons from St. Andrews. The Isle of May became a notable pilgrimage centre. Feast: 4 March"
"13"," ADULF ADULPH ",NA,"680",NA," The relics of both saints were translated to Thorney by *Ethelwold 972, where they were long venerate The hagiographer Folcard identified Adulf with a bishop of Maastricht of similar name, famous for teaching and almsgiving. This is almost certainly wrong, but it explains why Adulf is sometimes venerated as a bishop. Feast (with Botulf): 17 June"
"14"," AED MACBRICC ",NA,"588"," bishop"," A member of the clan Ui Neill, Aed, who was skilled in medicine, founded monasteries in Munster and Meath, where he became a bishop: his principal church was at Killare. A pilgrimage to Slieve League (Donegal), where a ruined hermitage is believed to be his, still survives. His cult also extends to Scotlan Feast: 10 November"
"15"," AGAPE AND IRENE AND CHIONE ",NA,"304"," martyrs"," These three young women were natives of Saloniki in Macedonia. During Maximian’s persecution they left their homes and went to live on a nearby mountain to follow lives of prayer: here they were arrested under Diocletian in late 303. When they were brought with their companions before the magistrate, they refused to sacrifice, that is, eat sacrificial foo Each answered steadfastly that she would rather die than do so. The prefect summed up against them that they were guilty of treason against the emperors and Caesars; as they were obdurate, they would receive the appropriate punishment. Agape and Chione were sentenced to be burnt alive, the other because of her youth to imprisonment. After the execution of the first two, Irene was again cross-examine She admitted that she had possessed books of the Scriptures and had taken refuge in the mountains without her father’s knowledge. As she refused once again to take part in the sacrifice, she was sentenced to be sent naked into the soldiers’ brothel, where she would receive daily one loaf of bread from the magistrate’s residence. However, no man dared approach her. She too was eventually burnt alive. The day of her death was recorded in her Acts as 1 April, but the feast of the three martyrs together is 3 April"
"16"," AGAPITUS ",NA,NA," martyr of Praeneste"," While details of his life are unknown, his cult at Rome and Praeneste from early times is well attested by Sacramentaries and other liturgical books, together with church dedications. His Acts describe him as a boy of only fifteen years who was killed by the sword for refusing to abjure the Christian faith. Feast: 18 August"
"17"," AGATHA ",NA,NA,NA," Her early cult is witnessed by her inclusion in the Martyrology of *Jerome, the Calendar of Carthage (530), the Canon of the Roman Mass, and *Venantius Fortunatus’ Carmina. Two churches were dedicated to her in Rome during the 6th century, and she was depicted in the mosaics of Sant’ Apolinare Nuovo, Ravenna. Her late fictitious Acts describe her as a wealthy girl who had vowed her virginity to Christ. The consul Quintinian invoked imperial edicts against Christianity to attempt her seduction: she was handed over to ‘Aphrodisia’, who kept a brothel; she was tortured by rods, rack, and fire. Lastly her breasts were cut off, but she was miraculously healed by a vision of *Peter. She died in prison as the result of her sufferings, just after an earthquake. She was invoked against fire, particularly the eruptions of Mount Etna; also against diseases of the breast; she was also the patron of bell-founders. In art her emblem is usually a dish with her breasts, sometimes mistaken for loaves blessed on her feast. Palermo and Catania both claim to be her birthplace. Feast: 5 February"
"18"," AGILBERT ",NA,"660",NA," Frankish by birth, Agilbert studied in Ireland for several years under teachers of Roman sympathy and was probably consecrated bishop there. He came to Wessex in 650, where King Cenwalh (643-74) gave him the see of Dorchester, recently founded by *Birinus. Although famous for learning and industry, Agilbert did not speak the Wessex dialect. This was the ostensible reason for Cenwalh dividing his kingdom into two dioceses and establishing Wine as bishop of Winchester without consulting Agilbert. In reality, the division corresponded to the distribution of two tribes which came to Wessex from East Anglia and along the Thames on the one hand, and from the Continent via Southampton on the other. Agilbert took offence and departed: he was next heard of taking part in the Synod of Whitby (663/4) as the senior prelate on the ‘Roman’ side, but he invited *Wilfrid, whom he had recently ordained priest, to be the principal spokesman in his place, as his own knowledge of Old English was imperfect. After the Synod he returned to Gaul, consecrated Wilfrid (with other bishops) at Compiègne, and became bishop of Paris. He became closely associated with Ebroin, the notorious Mayor of the Palace. But in 668-9 *Theodore spent a long time on his way to England as Agilbert’s guest, learning from him much about the state of the Church in Englan Agilbert died and was buried at the monastery of Jouarre, where his sister was abbess. His fine 7th-century sarcophagus survives there. There is no liturgical evidence for an early cult. Agilbert was never formally canonized, even after an investigation of his relics in the 18th century. But some implicit approval of his cult was given, as is shown by the presence of his feast on 1 April in a calendar compiled under King James II for English Catholics in 1686"
"19"," AGNES ",NA,"305"," virgin martyr of Rome"," The earliest surviving witness to her martyrdom and cult is the Depositio Martyrum (354). About the same time a basilica was built over her grave in the Via Nomentana. Her feast was kept in many churches, both East and West, from early times: its occurrence in calendars and martyrologies proves her to be one of the most famous of the early Roman martyrs. Writers who praised her include *Ambrose, *Damasus (both of whom claim reliance on authentic verbal tradition), *Jerome, and Prudentius. Her 5th-century Acts made her a girl of only thirteen who refused marriage because of her dedication to Christ, who ultimately preferred death to any violation of her consecrated virginity. She was killed by the sword, that is, through her throat being pierce Round this simple story arose sermons and hymns by Ambrose, early portrayals in Christian antique art, and numerous legendary accretions, such as the blinding of a man who gazed at her nakedness when she was placed in a brothel. Through the resemblance of her name to agnus (‘lamb’), her principal emblem since the 6th-century mosaics at San Apollinare Nuovo at Ravenna has been a lamb. On her feast at Rome lambs are blessed which produce the wool from which pallia for archbishops are woven by the nuns of St. Agnes’s convent. Varied representations of her survive from many centuries, including Renaissance paintings from Duccio to Tintoretto. She also appears frequently in late medieval stained glass, not least in England, where there are also five ancient church dedications. Perhaps the best surviving cycle of paintings of her occurs on a gold and enamel cup, which formerly belonged to the Duke of Berry and passed through the Duke of Bedford to King Henry VI: it is now in the British Museum. Feast: 21 January. Formerly the Roman calendar had a second feast, 28 January. Two Roman churches dedicated to her claim relics of head and body, believed to be hers"
"20"," AGNES OF BOHEMIA ",NA,"1282",NA," A descendant of Duke *Wenceslaus, daughter of Ottokar I king of Bohemia and his Hungarian royal wife, Agnes from early childhood was a subject of various proposed dynastic marriages. These plans resulted in a good education for her, but her heart was not in the idea of marriage. Her final suitor was the emperor Frederick II, the widowed father of her previous fiancé. In 1235 she wrote to pope Gregory IX, asking him to prevent this marriage as she had not consented to it, and wished to consecrate herself to Christ permanently and exclusively. Frederick replied that if she had left him for another man, he would have taken vengeance; but that he could not take offence ‘if she prefers the King of Heaven to me.’ Agnes now undertook the building of several religious houses: first a friary for Franciscan Friars Minor, then a hospital for the poor under the care of the Hospitallers. Lastly, again with her brother’s practical help (he was now king of Bohemia) she built a convent of Poor Clares. St *Clare sent five of her own nuns from Assisi as founders and Agnes took the veil herself in 1236. Their poverty was absolute, modelled on that of Clare at San Damiano. Agnes, subsequently named abbess, undertook the tasks of sweeping, cleaning, and cooking besides the care of lepers’ clothes. This was the first convent of Poor Clares north of the Alps, and Clare herself wrote to Agnes in terms of deep maternal affection. Agnes lived 44 years as a nun and died on 6 March. She was canonized in 1989 by Pope John Paul II at the time that the Czech nation was recovering its independence. Feast: 6 March"
"21"," AGNES OF MONTEPULCIANO ","1268","1317"," Dominican nun"," Born at Gracchiano-Vecchio of a wealthy family, she joined the Sisters of the Sack (so called because of their rough clothes) at Montepulciano (Tuscany) in her youth. When a new foundation was made at Proceno, Agnes was sent as housekeeper; later she was bursar and superior. Meanwhile her austerities and her visions of Christ, Mary, and the angels had become known, so the citizens of Montepulciano invited her to return. This she did and founded a convent there in premises formerly used as brothels. Meanwhile she had become convinced that, to attain permanence, the community should be aggregated to an established Order. Her choice was the Dominicans, and she was established as prioress in 1306, while the Order provided chaplains and direction. The convent grew and prospered under her rule, which lasted until her death. Prophecies and cures were attributed to her, while in character she was outstanding for ardour and simplicity. After a long and painful illness, she died at the age of forty-nine. He tomb and her incorrupt body were much visited by pilgrims, including the Emperor Charles IV and *Catherine of Siena, with whom she is often associated in Italian art. She is also represented as patroness of her town, of which she holds a model in her hand, by a Sienese painter at Montepulciano, while Tiepolo presents her as one of the saints surrounding the Madonna in the Jesuit church at Venice. Feast: 20 April"
"22"," AIDAN ",NA,"651",NA," Nothing is known of his early life except his Irish origin; *Bede is virtually the only source. Aidan came to England in 635 when *Oswald, who had become a Christian during exile at Iona, had regained the throne of Northumbria from Mercian invaders. He looked to Iona for help in the work of conversion: first a severe monk was sent, who soon returned complaining that the Saxons were uncivilized and unteachable; he was replaced by Aidan, who enjoyed a reputation for discretion and prudence. Oswald gave him the island of Lindisfarne, close to the royal palace of Bamburgh, better suited for evangelizing Bernicia (Oswald’s power-base of northern Northumbria) than York and the southern kingdom of Deira, evangelized by *Paulinus. Aidan’s evangelistic activity seems to have been principally, if not exclusively, in the Bernician kingdom. Oswald himself sometimes was Aidan’s interpreter in early days; later Aidan founded churches and monasteries, liberated Anglo-Saxon slaveboys and educated them for the Church, and encouraged monastic practices among the laity, such as fasting and meditation on the Scriptures. He himself lived in poverty and detachment, which enabled him to reprove the wealthy and powerful when necessary. After Oswald’s death in 642 Aidan supported King *Oswin of Deira and enjoyed his personal friendship. Once Oswin gave him a fine horse, but soon Aidan gave it away to a poor man. During Lent he retired to the Inner Farne Island for prayer and penance; from there in 651 he saw Bamburgh being burnt by Penda, the militant king of Mercia, and prayed successfully for the wind to change. But Aidan did not long survive the death of Oswin at the hand of Oswiu, who soon reunited Bernicia with Deira. Aidan died at Bamburgh and was buried at Lindisfarne in the cemetery. Later his bones were translated into the church. Some of these were removed to Ireland by *Colman, bishop of Lindisfarne, when he retired to Ireland after the Synod of Whitby. After the sacking of Lindisfarne by the Vikings in 793 and subsequently, Aidan’s memory was somewhat eclipsed, not least by that of *Cuthbert. But in the 10th century Glastonbury monks obtained some supposed relics of Aidan; through their influence Aidan’s feast appears in early Wessex calendars, which provide the main evidence for his cult after the age of Bede. Bede, 80 years after Aidan’s death, wrote more warmly of him than of any other saint. Even though he could not approve Aidan’s acceptance and propagation of the Irish method of calculating Easter, he praised him for his love of prayer, study, peace, purity, and humility as well as for his care of the sick and the poor. It may be that Bede used the example of Aidan as an implicit reproof of the bishops of his own time and that he exaggerated the extent and depth of his apostolate. For rather different reasons, both Irish and Anglican scholars of the 19th century did so even more. The parish church of Bamburgh is the only ancient English church dedicated to him. Feast: 31 August; translation, 8 October"
"23"," AILBE ",NA,"620"," Irish bishop"," Little is known of his life. He obtained for *Enda the gift of an Aran Island (Co. Galway) from King Angus of Munster; he is reputed to have written a monastic Rule; above all, he was a travelling evangelist who preached mainly in southern Irelan He is the reputed founder of the see of Imlech (Emly, Co. Tipperary). Legendary accretions credit him with having been suckled by a she-wolf, and with having retired, late in life, to the mythical Land of Promise, a blend of the Christian Paradise and the Celtic happy other-worl Feast: 12 (13) September"
"24"," AILRED OF RIEVAULX ","1110","1167"," Cistercian abbot and writer"," The son of a priest of Hexham, he was educated at Durham; 1130 he joined the household of *David I, king of Scotland, and became his seneschal. In 1134 he became a monk at the recently founded abbey of Rievaulx, where *Bernard had appointed his secretary William abbot over the monks from Clairvaux who formed the community. In spite of delicate health, Ailred followed the austere regime and became so esteemed in his community that he was chosen as envoy to Rome in 1142 over the disputed election of *William of York and, soon afterwards, as master of novices. In 1143 he was appointed abbot of Reves by (Lincs.); only four years later, he was recalled to be abbot of Rievaulx. Under his rule the house prospered exceedingly; it increased in numbers to 150 choir monks and 500 lay brothers and lay servants (the largest in England); it had made five foundations in England and Scotlan Ailred’s sensitive discretion and gentle holiness, with its strong emphasis on charity, inspired by the writings of *John and *Augustine, humanized the intransigence of Cistercian monasticism and attracted men of similar character to his own. Through his many friends as well as his writings he became a figure of national importance, chosen to preach at Westminster for the Translation of *Edward the Confessor in 1163. This led to his writing a Life of Edward (he had already written on *Ninian and on the saints of Hexham); other more characteristic writings included a treatise on Friendship, the Speculum Caritatis, and Sermons on Isaiah, often considered his finest work. A treatise on the human soul was left unfinishe In spite of suffering agony from the stone, which obliged him to live in a hut near the infirmary towards the end of his life, he was sometimes well enough to travel. On his way to his Scottish foundations he used to visit his friend *Godric of Finchale. But in the last year of his life he could do so no longer. He died at Rievaulx on 12 January and was buried in the Chapter House. Later his relics were translated to the church. In spite of the vivid and convincing portrait of him by Walter Daniel, his friend and disciple, Ailred was never formally canonize There was, however, a local cult, which was approved by the Cistercians, who promulgated his feast in 1476. Feast: 12 January, 3 February (for Cistercians) and 3 March"
"25"," ALACOQUE MARGARET MARY ","1647","1690"," Visitandine nun"," Born at Janots (Burgundy) the fifth child of a notary, Margaret had an unhappy childhood, especially after the death of her father, which was followed by relatives virtually taking over her home. In 1671 she became a nun at the Visitation convent of Paray-le-Monial. As a novice she was patient and charitable, but also clumsy and impractical. She made her profession in 1672 and from 1673 to 1675 experienced a series of visions of Christ, who also, she thought, spoke to her. These experiences, although subject to human error, were valuable for reminding contemporaries and others of truths forgotten or neglecte In 17th-century France both irreligion and Jansenism had in different ways obscured the doctrine of Christ’s love for all men, sinners include John *Eudes, Margaret Mary, and others were the providential instruments of recalling this basic truth to the people. This was done in and through devotion to the Sacred Heart of Jesus, adumbrated in the Middle Ages by *Gertrude, Mechtild, and others, but made more explicit by Margaret Mary and her director, the Jesuit *Claude de la Colombière, through whom her experiences became known. Margaret Mary met with plenty of contradictions, patiently borne, from her religious superiors and others. Eventually she won the confidence of her critics and became mistress of novices and assistant-superior. Devotion to, and a feast of the Sacred Heart were eventually approved by the papacy and very widely celebrate Margaret died at the age of only forty-three, on 17 October, which became her feast. She was canonized in 1920"
"26"," ALBAN ",NA,"250"," protomartyr of Britain"," The cult of this saint links England, as no other local cult does, with the early patristic age and with the Church of the late Roman Empire. *Gildas and *Bede attributed his martyrdom to the persecution of Diocletian (305); some modern scholars have argued more or less plausibly for that of Decius (254) or even that of Septimius Severus (209). Whatever the date, Alban is an interesting example of a martyr who suffered in the amphitheatre outside the town, whose relics were buried in a martyrium of a kind known on the Continent, around which the new town (St. Albans instead of Verulamium) grew up. It is also possible that Verulamium was in the Chiltern enclave which long resisted Anglo-Saxon invasion. Few details are known about him. The legendary Acts, followed by Bede, say that Alban, a Roman citizen, sheltered a priest, was converted by him and baptize Soldiers in pursuit of the priest, later called *Amphibalus, were sent to search his house. Alban dressed in the priest’s clothes to enable him to escape. He himself was arrested and after refusing to offer sacrifice was condemned to death. One executioner was converted; Alban was beheaded by another, whose eyes (as later artists loved to depict) fell out. He was buried nearby; the shrine, where the sick were cured, was visited by *Germanus of Auxerre and *Lupus in 429, when they removed some dust from it for their relic collection and gave other relics of apostles and martyrs in return. The shrine was in use, at least intermittently and probably continuously, to the time of Bede. A story that the shrine was lost and then recovered by revelation at the time of Offa’s supposed foundation of the monastery at St. Albans is unlikely. The relics of Alban were venerated there until the Reformation, but Ely with some plausibility claimed a rival set due to a translation under Abbot Frederick in the 11th century. St. Albans, however, alleged that the Ely relics were a false set. The St. Albans case was given further impetus by a translation in 1129 and by the discovery of Amphibalus’ supposed relics at Redbourn in 1177 and of Alban’s original grave in 1257. These last two claims are rightly challenged by modern historians. The cult prospered under the increasing importance of St. Albans Abbey, enhanced by the best artistic products of England’s wealthiest monastery. These included the fine illustrated Life by Matthew Paris and the new shrine, part of which survives. Representations of him by Comper and others after World War I present him as a soldier. Much of his shrine at St. Albans has recently been restore Alban’s cult extended all over England and in parts of France influenced by Germanus. Nine ancient English churches were dedicated to him. Odensee (Denmark), founded by Evesham, also claimed his relics. Feast: 20 June (formerly 22 June, as in B.P.); translation, 2 August (15 May at Ely)"
"27"," ALBERIC ",NA,"1109",NA," Nothing is known of his early life, but he became a hermit at Collan (near Chatillon-sur-Seine). With his companions he invited *Robert to rule them, and in 1075 they moved to Molesme with Robert as abbot and Alberic as prior. The community grew in numbers, but some of its members were unsuitable; friction developed and there was even a rebellion. After an attempt at peacemaking the former troubles returned; Robert, Alberic, and the Englishman *Stephen Harding with their followers made a fresh start at Cíteaux (near Dijon), in 1098. From these unpromising beginnings developed the Cistercian Order. Robert went back to Molesme, so Alberic became abbot in 1099. It is almost impossible to allocate responsibility between Robert, Alberic, and Stephen for the constitutional innovations, the extended use of lay brothers and the almost puritan attitude to the Rule of St. Benedict and to customary monastic tradition as well as to Romanesque art-forms which characterized the early Cistercians. Each of them took an important part in the development of the Cistercian ideal until *Bernard of Clairvaux became their most important member. In his panegyric of Alberic, his successor, Stephen Harding called him ‘a father, a friend, a fellow-soldier and a principal warrior in the Lord’s battles … who carried us all in his heart with affectionate love’. Alberic died on 26 January, which became his feast"
